Word,Previous Words,Next Words
Unity,No word here Publications Analogous,in the Writings
in,No word here No word here Unity,the Writings of
the,Analogous Unity in,Writings of John
of,in the Writings,John Duns Scotus
John,the Writings of,Duns Scotus Domenic
Duns,Writings of John,Scotus Domenic D'EttoreJournal
Domenic,John Duns Scotus,D'EttoreJournal History PhilosophyVolume
History,Scotus Domenic D'EttoreJournal,PhilosophyVolume Number Octoberpp-(Article)Published
Number,D'EttoreJournal History PhilosophyVolume,Octoberpp-(Article)Published by Johns
by,PhilosophyVolume Number Octoberpp-(Article)Published,Johns Hopkins University
Johns,Number Octoberpp-(Article)Published by,Hopkins University PressDOIFor
Hopkins,Octoberpp-(Article)Published by Johns,University PressDOIFor additional
University,by Johns Hopkins,PressDOIFor additional information
information,University PressDOIFor additional,about this articleFor
about,PressDOIFor additional information,this articleFor content
this,additional information about,articleFor content related
content,about this articleFor,related to articlehttps//doiorg//hphhttps//musejhuedu/article/https//musejhuedu/related_contenttype=article&id=*
to,articleFor content related,articlehttps//doiorg//hphhttps//musejhuedu/article/https//musejhuedu/related_contenttype=article&id=* D’Ettore is
is,to articlehttps//doiorg//hphhttps//musejhuedu/article/https//musejhuedu/related_contenttype=article&id=* D’Ettore,an associate professor
an,articlehttps//doiorg//hphhttps//musejhuedu/article/https//musejhuedu/related_contenttype=article&id=* D’Ettore is,associate professor philosophy
associate,D’Ettore is an,professor philosophy at
professor,is an associate,philosophy at Marian
philosophy,an associate professor,at Marian UniversityJournal
at,associate professor philosophy,Marian UniversityJournal Philosophyvolno()
Marian,professor philosophy at,UniversityJournal Philosophyvolno() –[]Analogous
four,D’ETTORE*abstract Aristotle identifies,modes unitynumericalspecificgenericand proportional
modes,Aristotle identifies four,unitynumericalspecificgenericand proportional or
or,modes unitynumericalspecificgenericand proportional,analogousRecent scholarship has
has,or analogousRecent scholarship,renewed Renaissance and
Renaissance,scholarship has renewed,and early Modern
and,has renewed Renaissance,early Modern Thomist
early,renewed Renaissance and,Modern Thomist critique
Modern,Renaissance and early,Thomist critique that
that,Modern Thomist critique,Scotus’s (d) doctrine
(d),critique that Scotus’s,doctrine univocity being
being,(d) doctrine univocity,based on a
based,doctrine univocity being,on a failure
on,univocity being based,a failure appreciate
a,being based on,failure appreciate unityThis
paper,failure appreciate unityThis,attempts fill gap
fill,unityThis paper attempts,gap copious literature
gap,paper attempts fill,copious literature presenting
literature,fill gap copious,presenting offering analysis
where,offering analysis texts,addresses topic analogous
topic,texts where addresses,analogous unityThe argues
argues,topic analogous unityThe,mature works consistently
works,unityThe argues mature,consistently reject notion
notion,works consistently reject,unity can serve
unity,consistently reject notion,can serve as
can,reject notion unity,serve as foundation
serve,notion unity can,as foundation for
as,unity can serve,foundation for greater
foundation,can serve as,for greater than
for,serve as foundation,greater than equivocal
greater,as foundation for,than equivocal between
than,foundation for greater,equivocal between conceptsand
developed,equivocal between conceptsand,position represents alternative
position,between conceptsand developed,represents alternative Aristotle’s
alternative,developed position represents,Aristotle’s division into
division,represents alternative Aristotle’s,into numericalspecificgenericand analogousNonethelessScotus’s
into,alternative Aristotle’s division,numericalspecificgenericand analogousNonethelessScotus’s remarks
provide,analogousNonethelessScotus’s remarks mind-independent,both internal justification
both,remarks mind-independent provide,internal justification dispute
over,ensues Thomists Scotists,whether single concept
single,Scotists over whether,concept signify analogously—a
concept,over whether single,signify analogously—a features
features,concept signify analogously—a,such distinguished participants
such,signify analogously—a features,distinguished participants Thomas
Thomas,such distinguished participants,de Vio Cajetan
de,distinguished participants Thomas,Vio Cajetan (–
Vio,participants Thomas de,Cajetan (– )
Cajetan,Thomas de Vio,(– ) Bartolomaeus
Bartolomaeus,Cajetan (– ),Mastrius (–)—and avenue
avenue,Bartolomaeus Mastrius (–)—and,further investigation thought
further,Mastrius (–)—and avenue,investigation thought Subtle
thought,avenue further investigation,Subtle Doctorkeywords unityanalogyunivocity
duns,unityanalogyunivocity beingJohn ScotusAristotleScotismThomismintroductionjohn,scotus his followers
his,ScotusAristotleScotismThomismintroductionjohn duns scotus,followers stand out
stand,scotus his followers,out among great
out,his followers stand,among great medieval
among,followers stand out,great medieval philosophers
great,stand out among,medieval philosophers affirmation
medieval,out among great,philosophers affirmation other
other,medieval philosophers affirmation,perfections are univocal
are,affirmation other perfections,univocal God creaturesSome
God,perfections are univocal,creaturesSome contemporary scholars
contemporary,univocal God creaturesSome,scholars contend arrives
through,scholars contend arrives,overlooking (also called
called,through overlooking (also,“proportional unity” “proportionality”)This
unity”,(also called “proportional,“proportionality”)This explores merits
does,passages addressing unityIt,not completely overlook
not,addressing unityIt does,completely overlook unitybut
own,developsalbeit implicitlyan account,analogousjournal history october
history,account own analogousjournal,october Analogy proportionality
october,own analogousjournal history,Analogy proportionality what
what,october Analogy proportionality,calls analogiaThomas Aquinas
DV,analogy (albeit only,qa) kind uniquely
kind,only DV qa),uniquely suited understanding
from,existence attributes creaturesDerivative,mathematical proportions holds
mathematical,attributes creaturesDerivative from,proportions holds some
some,mathematical proportions holds,pairs (or sets
sets,some pairs (or,pairs) relationshipssuch relationship
spring,pairs) relationshipssuch relationship,river point lineor
river,relationshipssuch relationship spring,point lineor rock
point,relationship spring river,lineor rock its
rock,river point lineor,its density test
its,point lineor rock,density test difficultyor
test,rock its density,difficultyor stock loss
stock,density test difficultyor,loss value ball
loss,test difficultyor stock,value ball motion
value,difficultyor stock loss,ball motion toward
ball,stock loss value,motion toward groundEach
these,motion toward groundEach,relationships grounds common
grounds,groundEach these relationships,common nameswhich names
common,these relationships grounds,nameswhich names turn
names,grounds common nameswhich,turn said members
turn,common nameswhich names,said members proportionalitythe
said,nameswhich names turn,members proportionalitythe “principles”
former,“principles” “beginnings” analogythe,rivers latter linesthe
rivers,“beginnings” analogythe former,latter linesthe rock’s
latter,analogythe former rivers,linesthe rock’s test’s
“hard”the,test’s difficulty analogously,“fall” himself treats
“fall”,difficulty analogously “hard”the,himself treats proportionality—which
he,himself treats proportionality—which,simply analogia (analogy)—as
one,simply analogia (analogy)—as,unityalong with numerical
with,(analogy)—as one unityalong,numerical unityspecific unityand
things,generic MetVb–/BarnesEach unities,their naturesAristotelians also
also,things their naturesAristotelians,speak merely subjects
subjects,also speak merely,share name but
share,speak merely subjects,name but nothing
name,merely subjects share,but nothing even
but,subjects share name,nothing even proportionally
even,name but nothing,proportionally identical naturesA
word,proportionally identical naturesA,key terms orderScotus
key,identical naturesA word,terms orderScotus scholastic
scholastic,key terms orderScotus,Aristotelian counterparts broad
broad,scholastic Aristotelian counterparts,agreement (with notable
mind,words concepts mindand,(which themselves either
outside,(which themselves either,mental concepts)The ‘univocal’
mental,themselves either outside,concepts)The ‘univocal’ ‘equivocal’
fact,‘univocal’ ‘equivocal’ arise,different be signified
be,arise fact different,signified using same
using,different be signified,same soundsThe vocal
same,be signified using,soundsThe vocal sound
sound,same soundsThe vocal,‘strike’ conveys signification
when,‘strike’ conveys signification,actions baseballin bowlingin
labor,baseballin bowlingin fightor,disputeWhereas all instances
all,fightor labor disputeWhereas,instances knocking down
down,all instances knocking,pins first try
pins,instances knocking down,first try bowling
first,knocking down pins,try bowling strike
try,down pins first,bowling strike univocally
bowling,pins first try,strike univocally each
Revised,practiceAll translations taken,Oxford Translation edited
Oxford,translations taken Revised,Translation edited Barnescitations
which,Translation edited Barnescitations,given volume page
page,which given volume,numberTranslations Latin my
Latin,volume page numberTranslations,my ownFor treatment
my,page numberTranslations Latin,ownFor treatment Metaphysics
falling,discusses “qualitative series”,under labels “indivisible
under,“qualitative series” falling,labels “indivisible form”
“indivisible,falling under labels,form” b–()and Halper
form”,under labels “indivisible,b–()and Halper highlights
highlights,form” b–()and Halper,importance biological physical
biological,Halper highlights importance,physical worksThis theory
physical,highlights importance biological,worksThis theory derives
On,worksThis theory derives,Interpretation a–On thirteenth-century
Interpretation,theory derives On,a–On thirteenth-century theories
a–On,derives On Interpretation,thirteenth-century theories significationsee
Modes,Pini“SpeciesConceptand Thing”and Ashworth“Signification,Signification” Cata–is primary
Cata–is,Ashworth“Signification Modes Signification”,primary reference distinction
reference,Signification” Cata–is primary,distinction univocal/synonymous equivocal/homonymousFor
concise,univocal/synonymous equivocal/homonymousFor recent,passagesee Ward“Aristotelian Homonymy”
See,passagesee Ward“Aristotelian Homonymy”,Many–For purposes paperI
paperI,See Many–For purposes,quote Halper’s summary
will,summary naming“In generalthentwo,named depending they
named,naming“In generalthentwo will,depending they respect
they,will named depending,respect formula formulaeand
class”,namedthey belong genus,(–emphasis original)Halper scotusthe
it,thingsFor examplethe “univocal”,strikesand “equivocal” baseball
baseball,it strikesand “equivocal”,strikesThe use another
use,“equivocal” baseball strikesThe,another uses Bowling
Bowling,use another uses,Demonstrative arguments proceed
basis,Demonstrative arguments proceed,univocityand demonstration hindered
demonstration,proceed basis univocityand,hindered equivocationNo valid
valid,demonstration hindered equivocationNo,conclusions demonstrated syllogism
term,refers variously strikeAnother,ratioThis used (a)
used,strikeAnother term ratioThis,(a) synonym signifies
(a),term ratioThis used,synonym signifies natures
synonym,ratioThis used (a),signifies natures understoodand
(b),signifies natures understoodand,mindScotus critics agree
ratio,mindScotus critics agree,sense specific nature
sense,critics agree ratio,specific nature sufficient
nature,ratio sense specific,sufficient condition demonstrationbut
within,indeed beings beings),tradition assertion (MetIIIb–)
tradition,beings beings) within,assertion (MetIIIb–) choice
science,(MetIIIb–) choice address,MetIV appealing diverse
diverse,science MetIV appealing,secondary-to-primary relations pros
relations,appealing diverse secondary-to-primary,pros hen senses
pros,diverse secondary-to-primary relations,hen senses substantial
hen,secondary-to-primary relations pros,senses substantial rather
rather,hen senses substantial,less (MetIVa–b)Among authors
less,senses substantial rather,(MetIVa–b)Among authors Middle
Middle,less (MetIVa–b)Among authors,Agesboth MetV treated
two,(“analogy”)thereby verbally blurring,sorts Ward refer
Ward,blurring two sorts,refer Irwin“Homonymy Aristotle”
refer,two sorts Ward,Irwin“Homonymy Aristotle” Irwin
Irwin,refer Irwin“Homonymy Aristotle”,emphasizes synonymy/univocity homonymy/equivocity
do,things“Homonymy indicated definitionsbut,mark replacedAristotle’s definitions
mark,indicated definitionsbut do,replacedAristotle’s definitions essence
thing,replacedAristotle’s definitions essence,definedthe replaced [by
real,(Top b–a)Now meaningit,propertya feature wordan
many,wordan universalA homonymous,because propertiesnot meanings”
because,universalA homonymous many,propertiesnot meanings” ()and
interest,meanings” ()and “[Aristotle’s],homonymy realitynot concepts”
one’,translates literally ‘toward,involve secondary depen-dent
kinds,involve secondary depen-dent,instance kindAristotle gives
instance,secondary depen-dent kinds,kindAristotle gives medical
medical,instance kindAristotle gives,examplessuch healthiness medicine
medicine,medical examplessuch healthiness,exercise healthwhich animaljournal
been,ambiguation disambiguation Ages,subject much studywith
subject,disambiguation Ages been,much studywith special
much,Ages been subject,studywith special attention
special,subject much studywith,attention scholarly writings
without,solution problem univocityThe,friends todayWith specifically
friends,problem univocityThe without,todayWith specifically theist
Lane,theist concerns mindWilliam,Craig states approval
Craig,concerns mindWilliam Lane,states approval explicitly
states,mindWilliam Lane Craig,approval explicitly claims
there,claims ScotussayingI wholeheartedly,applies creaturesOne aspects
I,creaturesOne aspects Aquinas’,find most disturbing
find,aspects Aquinas’ I,most disturbing claim
most,Aquinas’ I find,disturbing claim we
we,most disturbing claim,analogical termsWithout meaningwe
left,analogical termsWithout meaningwe,agnosticism Godable say
say,left agnosticism Godable,notnot He isScotus
He,Godable say notnot,isScotus rightly saw
saw,He isScotus rightly,existswe man existsOther
man,rightly saw existswe,existsOther philosophersincluding Williams
Williams,man existsOther philosophersincluding,Peter van Inwagen
Peter,existsOther philosophersincluding Williams,van Inwagen (who
van,philosophersincluding Williams Peter,Inwagen (who provides
lead,Quinean perspective)also follow,affirm beingIn opposition
full,McDaniel recently published,monograph supporting “ways
“ways,full monograph supporting,being” cites ancient
being”,monograph supporting “ways,cites ancient others
ancient,“ways being” cites,others affirms being”The
more,being”The debate versus,broadly) invites work
work,more broadly) invites,reasoning led him
led,invites work reasoning,him depart opinion
him,work reasoning led,depart opinion contemporariesJoshua
depart,reasoning led him,opinion contemporariesJoshua Hochschild
offers,Ashworth“Medieval Theories Analogy”,brief how Boethius’s
brief,Theories Analogy” offers,how Boethius’s treat
how,Analogy” offers brief,Boethius’s treat analogyHalperOne
treat,brief how Boethius’s,analogyHalperOne Manydescribes practice
genera”,classes beyond high-est,()Halper puts nicely
puts,high-est genera” ()Halper,nicely unitysaying“In differbut
relation,nicely unitysaying“In differbut,samein henone remains
remains,relation samein henone,samebut differ” ()Hochschild“Aquinas’s
differ”,henone remains samebut,()Hochschild“Aquinas’s Two Concepts
Two,samebut differ” ()Hochschild“Aquinas’s,Concepts –has highlighted
–has,()Hochschild“Aquinas’s Two Concepts,highlighted ques-tions across
across,–has highlighted ques-tions,categories raise semantic
raise,ques-tions across categories,semantic questions categoriesunivocally(purely)
questions,categories raise semantic,categoriesunivocally(purely) equivocallyor analogouslyHochschild
“associated,equivocallyor analogouslyHochschild distinguishes,meaning” likeness” equivocation
Les,Logic”“Metaphor Logicians Cajetan”and,théories l’analogie du
du,Les théories l’analogie,XIIe au XVIe
au,l’analogie du XIIe,XVIe siècleSee Ashworth’s
Being,“Analogy Metaphor” esp–Craig“Is,Same Sense That
Same,Metaphor” esp–Craig“Is Being,Sense That We
Sense,esp–Craig“Is Being Same,That We Are”
That,Being Same Sense,We Are” directly
We,Same Sense That,Are” directly Cosmological
Are”,Sense That We,directly Cosmological Argument
Plato,directly Cosmological Argument,Leibniz–See Williams“Doctrine Univocity”
esp–Van,Inwagen“BeingExistenceand Ontological Commitment”,places Quine response
places,Ontological Commitment” esp–Van,Quine response HeideggerFor
Quine,Commitment” esp–Van places,response HeideggerFor Williams’s
Being”,Theology –McDanielFragmentation Beingespchap“Return,chap“Degrees Being”analogous scotusothers
unique,chap“Degrees Being”analogous scotusothers,contribution creatures—that isScotus’s
product,creatures—that isScotus’s concept—is,depends upon overlookingif
upon,concept—is product depends,overlookingif rejectingthe anything
pure,overlookingif rejectingthe anything,equivocationSuch criticisms appear
were,appear fourteenth centuryand,enough schools prominent
them,enough schools prominent,developing consistent DoctorScotus’s
developing,schools prominent them,consistent DoctorScotus’s forced
well,DoctorScotus’s forced (as,finite infinite) demonstrative
no,founding contradictions recognizes,mode could have
mode,contradictions recognizes no,could have univocalFollowing
could,recognizes no mode,have univocalFollowing fifteenth-
have,no mode could,univocalFollowing fifteenth- proponent
if,proposes analogously/proportionally contradictionsandfurthermorethat,proportional/analogous unitythen purely
matter,equivocallyThe Cajetan’s proposal,dayHere am interested
am,proposal matter dayHere,interested overlooks For
For,am interested overlooks,very helpful overview
very,interested overlooks For,helpful overview up
overview,For very helpful,up proposing reconcile
up,very helpful overview,proposing reconcile de-mands
fuller,genussee Dumont“Scotus’s Doctrine,doctrinesee HonnefelderEns Inquantum
defense,Inquantum EnsFor book-length,beingsee LaZellaSingular Voice
Flanders’,Semantics Analogy–See D’Ettore“Dominic,Critique” –Thomas SuttonOP(c–)
–Thomas,D’Ettore“Dominic Flanders’ Critique”,SuttonOP(c–) figure who
figure,Critique” –Thomas SuttonOP(c–),who appeals defend
who,–Thomas SuttonOP(c–) figure,appeals defend Aquinas’s
defend,figure who appeals,Aquinas’s against Scotist
Mastri,espD’Ettore“Thomas Sutton’s unitysee,(–)espin qof Disputationes
ad,(–)espin qof Disputationes,Mentem ScotiFor statement
“Et,ScotusOrdinatio Idpars q–nVC,ne fiat contentio
ne,Idpars q–nVC “Et,fiat contentio nomine
fiat,q–nVC “Et ne,contentio nomine univocationisunivocum
ita,univocationisunivocum conceptum dicoqui,est unus quod
est,conceptum dicoqui ita,unus quod eius
quod,ita est unus,eius unitas sufficit
eius,est unus quod,unitas sufficit contradictionemaffirmando
et,unitas sufficit contradictionemaffirmando,negando ipsum eodemsufficit
pro,ipsum eodemsufficit etiam,medio syllogisticout extrema
medio,eodemsufficit etiam pro,syllogisticout extrema unita
extrema,pro medio syllogisticout,unita sic uno
unita,medio syllogisticout extrema,sic uno sine
sic,syllogisticout extrema unita,uno sine fallacia
uno,extrema unita sic,sine fallacia aequivocationis
sine,unita sic uno,fallacia aequivocationis concludantur
inter,fallacia aequivocationis concludantur,se uniri” (‘Idpars
se,aequivocationis concludantur inter,uniri” (‘Idpars qq–n’
stands,uniri” (‘Idpars qq–n’,Book part –paragraph
Book,(‘Idpars qq–n’ stands,part –paragraph number
part,qq–n’ stands Book,–paragraph number ‘VC
number,Book part –paragraph,‘VC ’ Vatican
‘VC,part –paragraph number,’ Vatican City
Vatican,number ‘VC ’,City edition Opera
City,‘VC ’ Vatican,edition Opera Omniavolume
edition,’ Vatican City,Opera Omniavolume Subsequent
Opera,Vatican City edition,Omniavolume Subsequent citations
Ordinatio,Omniavolume Subsequent citations,citation scheme) There
There,Ordinatio citation scheme),disagreement definition passage
definition,scheme) There disagreement,passage citedDumont takes
passage,There disagreement definition,citedDumont takes “functional
takes,definition passage citedDumont,“functional definition” conditions
definition”,citedDumont takes “functional,conditions univocityBy contrastCross
state,conditions univocityBy contrastCross,univocitySee Dumont“Transcendental BeingScotus
references,CrossDuns Scotusand nSee,notes aboveFor discussion
notes,Scotusand nSee references,aboveFor discussion argument
Work,promi-nent Mastriussee D’Ettore“Does,Demonstration” journal way
Demonstration”,Mastriussee D’Ettore“Does Work,journal way influence
way,Work Demonstration” journal,influence lack concerning
lack,journal way influence,concerning signifiedThere thorough
any,significant beingI unawarehoweverof,direct sakeIt intention
direct,beingI unawarehoweverof any,sakeIt intention Doctor
Doctor,direct sakeIt intention,analogiaScotus (proportional unity)
since,(proportional unity) equivocationI,helps show foundations
helps,unity) equivocationI since,show foundations thingsWhile
show,equivocationI since helps,foundations thingsWhile polemical
order,AristotleThe portion philosophical,continuity development unityI
development,philosophical order continuity,unityI conclude rejects
argue,conclude rejects analogousI,Baroque period analogouslysome
historical,Baroque period analogouslysome,backgroundMalcolm Wilson observes“Aristotle
Wilson,analogouslysome historical backgroundMalcolm,observes“Aristotle nowhere clear
clear,Wilson observes“Aristotle nowhere,extended analogyand piece
super,together espPini“Univocity Quaestiones,Metaphysicam” The author’s
The,Quaestiones super Metaphysicam”,author’s revised ver
revised,Metaphysicam” The author’s,ver -sion available
ver,The author’s revised,-sion available academiaedu
-sion,author’s revised ver,available academiaedu pageSee
lucid,available academiaedu pageSee,overall transcendentals WolterTranscendentals
overall,academiaedu pageSee lucid,transcendentals WolterTranscendentals Their
Tradition”,FunctionFor Smith“Analogy Sco-tist,–The Smith’s article
–The,Smith“Analogy Sco-tist Tradition”,Smith’s article includes
article,Tradition” –The Smith’s,includes (and perfections)
includes,–The Smith’s article,(and perfections) univocityas
late,univocityas reflected Reportatioboth,theology corpusSpeaking ReportatioSmith
“the,corpusSpeaking ReportatioSmith cautions,usefulness text limited”
text,cautions “the usefulness,limited” thatalthough “in
limited”,“the usefulness text,thatalthough “in clearly
“in,text limited” thatalthough,clearly endorse “does
“does,“in clearly endorse,explain compatible views
views,“does explain compatible,univocity” (–)The question
question,views univocity” (–)The,Repor-tatio IIdqI caution
leave,Repor-tatio IIdqI caution,consideration articleanalogous scotuswith
locus,produce coherent account”A,classicus found MetVb
found,account”A locus classicus,MetVb –a Againsome
–a,classicus found MetVb,Againsome numberothers speciesothers
species,those whose onein,predication appliesby third
third,species predication appliesby,fourthThe always areegthings
so,specieswhile numberbut genuswhile,analogywhile genus(MetVb–a/Barnes)Later bookAristotle
draws,analogywhile genus(MetVb–a/Barnes)Later bookAristotle,list numberspeciesgenusand same”
list,genus(MetVb–a/Barnes)Later bookAristotle draws,numberspeciesgenusand same” other”
same”,draws list numberspeciesgenusand,other” different” (MetVb–a/Barnes)Analogous
other”,list numberspeciesgenusand same”,different” (MetVb–a/Barnes)Analogous addition
addition,other” different” (MetVb–a/Barnes)Analogous,comparable three sameness
three,(MetVb–a/Barnes)Analogous addition comparable,sameness TopISameness would
divisions,regarded fallingroughly speakinginto,numerically cases thingegdoublet
cases,speakinginto divisions numerically,thingegdoublet cloakspecificallywhere thingbut
present,thingegdoublet cloakspecificallywhere thingbut,differences speciesas anotheror
horse,differences speciesas anotheror,anotherSimilarlytoothose generically fall
fall,horse anotherSimilarlytoothose generically,genussuch man(TopIa –/Barnes)Aristotle’s
fit,examples numberspeciesand easily,being-one genusThe object
object,fit being-one genusThe,doublet cloak matterand
cloak,genusThe object doublet,matterand accordinglythe oneThe
“man”,mensuch Socrates Platoare,“human” definitionmaking oneLikewisethe
“human”,Socrates Platoare “man”,definitionmaking oneLikewisethe human
human,“human” definitionmaking oneLikewisethe,“animal” samemaking oneUnfortunatelyAristotle
“animal”,definitionmaking oneLikewisethe human,samemaking oneUnfortunatelyAristotle samenessThat
saidhe,samemaking oneUnfortunatelyAristotle samenessThat,placesFor examplein MetXIIAristotle
NE,principles” (b –/Barnes)in,Ihe says“Things good
Ihe,(b –/Barnes)in NE,says“Things good ways
good,NE Ihe says“Things,ways be” (a–/Barnes)and
ways,Ihe says“Things good,be” (a–/Barnes)and “as
be”,says“Things good ways,(a–/Barnes)and “as sight
“as,ways be” (a–/Barnes)and,sight bodyso reason
soul”,sight bodyso reason,example something “one
“one,soul” example something,analogy” (b–/Barnes)and PA
PA,“one analogy” (b–/Barnes)and,informs reader “Bird
“Bird,PA informs reader,Fish having organsfor
Fish,informs reader “Bird,having organsfor bird
having,reader “Bird Fish,organsfor bird featherin
bird,Fish having organsfor,featherin fish scale”
fish,organsfor bird featherin,scale” (a–/Barnes)adding “resemblance
scale”,bird featherin fish,(a–/Barnes)adding “resemblance bone
bone,scale” (a–/Barnes)adding “resemblance,spine fish” (PA
spine,(a–/Barnes)adding “resemblance bone,fish” (PA Ib–/Barnes)WilsonAristotle’s
fish”,“resemblance bone spine,(PA Ib–/Barnes)WilsonAristotle’s TheorySee
rival,WilsonAristotle’s Theory–Wilson considers,lines interpretation workswhich
lines,Theory–Wilson considers rival,interpretation workswhich functionalistthe
interpretation,considers rival lines,workswhich functionalistthe relativistand
In,embryologist/genus-as-matter interpretationsand interpretationjournal,exampleswe see describes
see,interpretationjournal In exampleswe,describes similar thingsAristotle’s
“ab,thingsAristotle’s analogates represented,cd”Later Aristotelians take
take,“ab cd”Later Aristotelians,cover ab cd
cover,cd”Later Aristotelians take,ab cd mentioned
ab,Aristotelians take cover,cd mentioned more)
cd,take cover ab,mentioned more) (think
quality,urine healthor quantity,substance)In doing sothese
later,substance)In doing sothese,create blends cited
us,aboveWith proportion mindlet,now exposition analogybeginning
now,proportion mindlet us,exposition analogybeginning Metaphysicamanalogous
exposition,mindlet us now,analogybeginning Metaphysicamanalogous scotus’s
parts”,speciesand analogywhether fitting,(QMetqOP )This isof
Greek,)This isof courseextending,original meaning pertaining
original,isof courseextending Greek,meaning pertaining quantitiesScholastic
strict,‘proportion’ illustrated casual,DVqaad (Turin)“Ad sextum
(Turin)“Ad,casual strict DVqaad,sextum dicendumquod proportiopro-prie
sit,quantitates quantitatemsicut aequalis,una alterivel triplaet
una,quantitatemsicut aequalis sit,alterivel triplaet exinde
nomen,triplaet exinde translatum,proportionisut cuiuslibet rem
rem,nomen proportionisut cuiuslibet,alteram nominetur” examplesee
vero,examplesee AquinasIn MetLl(Turin)“Proportione,vel sunt unum
vel,AquinasIn MetLl(Turin)“Proportione vero,sunt unum quaecumque
sunt,MetLl(Turin)“Proportione vero vel,unum quaecumque hoc
hoc,sunt unum quaecumque,conveniuntquod habet illud
potest,sicut aliudEt quidem,accipi duobus modisvel
eo,accipi duobus modisvel,aliqua duo habent
duo,modisvel eo aliqua,habent diversas habitudines
dictum,unumsicut sanativum urina,habitudinem significat signi
signi,dictum habitudinem significat,sanitatisde medicina veroquia
medicina,significat signi sanitatisde,veroquia causae respectu
causae,sanitatisde medicina veroquia,respectu eiusdemVel eadem
mare,duorum diversasicut tranquillitatis,serenitatis aeremTranquillitas enim
enim,mare serenitatis aeremTranquillitas,quies maris serenitas
quies,serenitatis aeremTranquillitas enim,maris serenitas aeris”
maris,aeremTranquillitas enim quies,serenitas aeris” bibliographysee
aeris”,quies maris serenitas,bibliographysee above commentary
above,serenitas aeris” bibliographysee,commentary Donati transformation
Donati,bibliographysee above commentary,transformation analogySee Donati“La
transformation,above commentary Donati,analogySee Donati“La discussione
del,Donati“La discussione sull’unità,concetto di ente”
di,sull’unità del concetto,ente” –Ward makes
ente”,del concetto di,–Ward makes observation
–Ward,concetto di ente”,makes observation renaissance
